0,Sound,Let's not ,0,,,,,,
0,SansHead,Tired2,,,,,,,
,,,,,,,,,
0,SansSweat,1,,,,,,,
0,SansText,Fuck you Joshua Ang Zhe             Yu.,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,Ding,,,,,,,
0,SansText,But you gotta understand            I got a boner.             I'm the footlong lover!,,,,,,,
0,Sound,mus_zz_megalovania,1,,,,,,
0,SansAnimation,Tired,,,,,,,
0.5,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandUp,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,3,,,,,,,
0,BoneStab,0,54,0.16666,3,,,,
0,BoneStab,2,54,0.16666,3,,,,
0.5,SansBody,HandDown,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.2,BoneStab,3,54,0.16666,1,,,,
0.7,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.4,Sound,GasterBlaster,1.4,,,,,,
0,SineBones,20,-24,360,25,,,,
0.5,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0.9,SansBody,HandLeft,,,,,,,
0.1,SansSlam,2,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.2
0,GasterBlaster,1,0,0,259,166,90,0.333,0.2
0,GasterBlaster,1,640,480,449,366,180,0.333,0.2
0,GasterBlaster,1,640,480,379,446,270,0.333,0.2
0.7,GasterBlaster,1,0,0,189,176,45,0.333,0.2
0,GasterBlaster,1,640,0,449,176,135,0.333,0.2
0,GasterBlaster,1,640,480,449,436,225,0.333,0.2
0,GasterBlaster,1,0,480,189,436,315,0.333,0.2
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0.3,HeartMode,0,,,,,,,
0.4,GasterBlaster,1,0,0,189,246,0,0.333,0.2
0,GasterBlaster,1,0,0,259,166,90,0.333,0.2
0,GasterBlaster,1,640,480,449,366,180,0.333,0.2
0,GasterBlaster,1,640,480,379,446,270,0.333,0.2
0,HeartTeleport,240,304,,,,,,
0,Sound,Ding,,,,,,,
0,SansHead,BlueEye,,,,,,,
0.5,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
0,GasterBlaster,2,0,240,324,106,90,0.666,0.5
0,GasterBlaster,2,640,240,324,506,270,0.666,0.5
0,GasterBlaster,1,0,0,189,246,0,1.5,0.1
0,GasterBlaster,1,0,0,259,166,90,1.5,0.1
0,GasterBlaster,1,640,480,449,366,180,1.5,0.1
0,GasterBlaster,1,640,480,379,446,270,1.5,0.1
1,SansHead,NoEyes,,,,,,,
0,SansText,ITS TOUCHED OR BE TOUCHED,,,,,,,
0.05,SansSlam,2,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,BoneStab,2,30,0.3,0.5,,,,
0.6,SansSlam,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,BoneStab,0,30,0.3,0.5,,,,
0,GasterBlaster,1,0,0,269,166,90,0.333,0.8
0,GasterBlaster,1,640,480,369,446,270,0.333,0.8
0.6,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,30,0.3,0.5,,,,
0.6,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,BoneStab,3,30,0.3,0.5,,,,
0.7,SansAnimation,Tired,,,,,,,
0,HeartMode,0,,,,,,,
0,BoneHRepeat,130,-10,200,1,500,7,183,
0,BoneHRepeat,330,650,200,3,500,7,183,
0,GasterBlaster,1,0,0,189,226,0,0.333,1.6
0,GasterBlaster,1,640,480,449,386,180,0.333,1.6
2.6666666,SansTorso,Default,,,,,,,
0,SansBody,HandLeft,,,,,,,
0.2,SansSlam,2,,,,,,,
0.3,BoneStab,2,40,0.3,0.3,,,,
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0.5,SansBody,HandRight,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneResizeInstant,241,226,449,391,,,,
0,CombatZoneSpeed,900,,,,,,,
0,CombatZoneResize,241,226,650,391,,,,
0.33333,HeartMaxFallSpeed,-370,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansRepeat,,,,,,,,
0,CombatZoneResize,-10,226,650,391,,,,
0.3,CombatZoneSpeed,30,,,,,,,
0,CombatZoneResize,-10,264,650,369,,,,
0.9,GetHeartPos,HeartX,HeartY,,,,,,
0,HeartTeleport,40,$HeartY,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,BoneStab,3,36,0.4,0.2,,,,
0.7,BlackScreen,1,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansHead,EyesClosed,,,,,,,
0,SansText,Welp... ,,,,,,,
0,SansTorso,Shrug,,,,,,,
0,SansHead,Wink,,,,,,,
0,SansText,Guess my footlong doesn't interest you,,,,,,,
0,EndAttack,,,,,,,,
